username,userid,profile_location,created_at,text,retweet_count,source,coordinates
kathy,803623990237347846,"Puyallup, WA",2023-01-22 16:45:58,@the_usal It’s all going to change. Big Tech are laying off workers. Other businesses will eventually follow becaus… https://t.co/8QLco27sGa,0,Twitter for iPad,
GritCityKitty,822646161421037570,"Tacoma, WA",2023-01-22 12:43:39,"@Sprucedude @JohnWil12363553 @TonyClimate Oh, please. The consensus is among “climate scientists,” who make their m… https://t.co/gCrhUzyXss",0,Twitter for iPhone,
Mason,955303102709514240,"Tacoma, WA",2023-01-22 01:04:39,Veganism is actually as bad for the environment (unless ur loaded or just have ur own garden ig) and vegan foods ar… https://t.co/zd3MW3Dtsh,0,Twitter for iPhone,
PsychicPsal,628251276,Kent,2023-01-21 20:30:01,"@MrMnd73 @AnitaHardcokMP @Amojak2 @sophielouisecc Innovating is fine, but climate change stuff went too far, too so… https://t.co/XzD4ENnFvv",1,Twitter for Android,
GritCityKitty,822646161421037570,"Tacoma, WA",2023-01-21 19:09:25,@morrisangiel @realDailyWire It’s not climate change.,0,Twitter for iPhone,
Sentience is wasted on us. Here for neural nets.,128258549,"Auburn, WA",2023-01-21 16:37:19,"When scientists tagged a curious seal, he led them to signs of a potential climate disaster

https://t.co/ahlSdfmZEl",0,Twitter for Android,
𝓛𝓪𝔀,245538696,"Tacoma, WA",2023-01-21 15:09:13,@_Janey_J if you don’t get vaccinated. Climate change will destroy us all.,0,Twitter for iPhone,
𝓛𝓪𝔀,245538696,"Tacoma, WA",2023-01-21 15:06:39,@jasonrantz It’s climate change,0,Twitter for iPhone,
Jonathan Horton,1519394684061159425,"Washington, USA",2023-01-21 14:55:09,"@MikeHudema Fake chart made by fake climate change..Heres a clue, the climate is controlled by 2 things. The sun an… https://t.co/jdyGGWJxY9",0,Twitter for Android,
Andy Willo,379951723,Fife,2023-01-21 12:09:23,"@101Humbug @brightonsnapper As people have paved gardens the area drained has changed alot, just for existing popul… https://t.co/pH9qpvntD7",0,Twitter Web App,
𝓛𝓪𝔀,245538696,"Tacoma, WA",2023-01-21 05:32:05,Look what climate change has caused here in Tacoma. 😡 https://t.co/7MTOOGOJBD,1,Twitter for iPhone,
Robert Geyer,2894517109,Tacoma,2023-01-21 05:28:39,"@Jim_Jordan Fake globalist pushed climate change to push green energy and control people,",0,Twitter for Android,
GᖇETᗩGᒪO,28281737,"Sumner, WA",2023-01-21 05:27:37,@GRDecter @bennyjohnson Climate change is a figment of their imagination.. Wake up people..! 🤦🏼‍♀️😵‍💫👈🏻,0,Twitter for iPhone,
Jesse Reynolds,1585812483423408128,"Tacoma, WA",2023-01-21 04:58:59,Climate change is just another leftist religion. https://t.co/gTKFYhgBdC,0,Twitter for iPhone,
