username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Keith Nordquist,150699361,Kent Washington,2023-01-20 22:55:21,@SenWarren You mean like climate change taxes and business head taxes and ever increasing B&amp;O taxes? Are you talkin… https://t.co/uPFj3FaUwX,0,Twitter Web App,
Robert Geyer,2894517109,Tacoma,2023-01-20 22:47:02,@seanhannity Al gore has always been a globalist con pushing fake climate change bs to scare fools so globalists ca… https://t.co/nVpRp4bHXM,0,Twitter for Android,
Miles,1602056788077346817,"Tacoma, WA",2023-01-20 19:27:03,@BofA_News @DSteveBoland How can we talk about climate change when our country continues to fund wars has anyone do… https://t.co/SpvjmaM2QP,2,Twitter for iPhone,
Dick Muri,46461212,"Steilacoom, WA",2023-01-20 16:06:13,"A few years ago the prime minister of India said, &amp; I will paraphrase, “don’t chide us about climate change, we sti… https://t.co/sWinRoYet2",0,Twitter for iPhone,
Keith Nordquist,150699361,Kent Washington,2023-01-20 15:07:34,"Raise the debt ceiling, give money to all the recent immigrants, give money to Ukraine, give even more money to the… https://t.co/s4IuG14Nhl",1,Twitter Web App,
magameathead55,790199474190561281,"Auburn, WA",2023-01-20 14:39:49,@stiletoprincess Or what if it’s nice and sunny? In Seattle that’s climate change,0,Twitter for iPhone,
Kent Wildlife Trust,220989525,Kent,2023-01-20 14:01:47,"Attend the H2O Source2Sea project's final conference, and learn about nature-based solutions for climate change, in… https://t.co/gEXTMRC5u6",2,Hootsuite Inc.,
Brian,80349033,Kent,2023-01-19 22:32:03,@nbreavington Climate https://t.co/Q4Soxe9zQw wasn't long ago that a new ice age was predicted .,0,Twitter for Android,
GritCityKitty,822646161421037570,"Tacoma, WA",2023-01-19 08:03:56,@AI_Solzhenitsyn Now it’s climate change. #ClimateEmergency,0,Twitter for iPhone,
Vanessa 🇵🇷🇺🇸,1519139913056198656,"Tacoma, WA",2023-01-19 04:13:35,@sethweathers Fucking climate change,0,Twitter for iPhone,
Dylan Jackson 🇨🇦 🇺🇦,781675582128001024,"Seattle, WA",2023-01-19 03:29:08,@NickAdamsinUSA It's called climate change and leaked documents show that the fossil fuel industry was fully aware… https://t.co/vDC4s7o9zL,0,Twitter for Android,
Eddie Allen Webb,260618442,"Puyallup, WA",2023-01-19 02:20:52,"@GretaThunberg Yep, this is straight out staged. They had it on TV everywhere, taking a photo ops filming it. It’s… https://t.co/mbjGHn74AL",0,Twitter for iPhone,
Robert Geyer,2894517109,Tacoma,2023-01-19 02:05:43,"@Jim_Jordan Yep, socialists love the dem destruction of our country for fake climate change.",0,Twitter for Android,
Stephen Black,497435868,"Tacoma, WA",2023-01-19 01:19:01,Can Architecture and Urban Planning Fight Back Against Climate Change? https://t.co/xEqMZI3ad8 #architecture… https://t.co/qUGhDp45eo,0,Buffer,
Robert Geyer,2894517109,Tacoma,2023-01-19 01:06:51,"@shockingguy @RepAndyBiggsAZ Cool, yes, socialists love more social policies, instead of helping people, lets just… https://t.co/tM8aI39mTF",0,Twitter for Android,
Brian,629054985,"Federal Way, WA",2023-01-18 20:19:55,@Tutora2020 @mmpadellan Climate change. The ultimate money grab from democrats. Classic🤣,0,Twitter for iPhone,
donald watson,2538827805,Fife,2023-01-18 18:45:29,@LeoKearse @thegreenwuman Climate change its minus fucking 3 Ootside and its winter a ain't gt ma shorts on anyway there aff there heed,0,Twitter for Android,
Earth Economics,81243851,"Tacoma, WA",2023-01-18 16:02:23,"At the 2021 UN climate summit in Glasgow, Barbados was a powerful voice for those on the front lines of climate cha… https://t.co/Sfu1JAIYDm",0,Hootsuite Inc.,
Clive Walton,529850415,"Welling, Kent",2023-01-18 13:56:55,"@z5n6hxmxp6 @Iromg Well he better get his finger out and solve the current issues and no u turning, because many ha… https://t.co/hZXmC6paAC",0,Twitter for Android,
Robert Geyer,2894517109,Tacoma,2023-01-18 08:19:22,"So much for fake global warming and climate change, enviroment junkirs will hate facts..
https://t.co/QOifIuoSvz",0,Twitter for Android,
Part of bear clan,140191551,Kent,2023-01-17 23:02:44,"I am very shocked about a YouTube channel that is racist, is transphobic and denies man made climate change is stil… https://t.co/HV70N7NHVG",1,Twitter Web App,
Part of bear clan,140191551,Kent,2023-01-17 22:50:14,@LucyWoodslucy70 There are a lot of YouTube channels making a lot of money from nan made climate change deniers. Th… https://t.co/9ud7HxJH5B,0,Twitter Web App,
🪲Ben Bug🌻,14499873,"Tacoma, WA",2023-01-17 21:27:04,"""Hey, you know that thing that's killed millions of people in the last few years? That's fucking nothing! Climate c… https://t.co/legxthgola",0,Twitter Web App,
TechNet NW,2909448462,"Gig Harbor, WA",2023-01-17 19:23:34,Addressing climate change is one of the most critical issues of our time. Washington HB 1176 will create a strong t… https://t.co/TydxEINLko,3,Twitter for iPhone,
john doherty,1453021674404732937,"Tacoma, WA",2023-01-17 16:27:06,@cycles13 @JimBowersclimb I hear this over and over - those who don't accept the scientific consensus on a warming… https://t.co/R9MuiHR8np,0,Twitter Web App,
Darren Anderson,1585823825731538945,"Puyallup, WA",2023-01-17 15:26:47,@jsolomonReports That’ll fix it! Biden speechifying about climate change and how he dated Greta when he was a kid.,0,Twitter for iPad,
Karen Price ☮️🌊🇺🇦 🌈 🌊💙,2725619570,"Federal Way, WA",2023-01-17 14:48:01,Atmospheric dust may have hidden true extent of global heating https://t.co/yMuhLwVzbl #ClimateCrisis #Desert #DUST… https://t.co/ZjDlMiv2cW,0,Twitter Web App,
Pat Marsh,17555093,Kent,2023-01-17 14:47:47,"The Sunday Times best selling author Peter May is with us @BBCRadioKent after 3pm today. 

He came out of retiremen… https://t.co/bNKzdS7gVR",3,Twitter for iPhone,
Lee Hurst #VoteAnyoneButLibLabConGreen,1289910485685501952,Kent,2023-01-17 06:27:17,It was *so* important @idriselba flew in a jet to Davos to #wef23 to tell people to mitigate against climate change… https://t.co/lxZaSTVORR,74,Twitter Web App,
Scrooge & Marley Counting House Ltd.,1326663504871391235,"Auburn, WA",2023-01-17 04:45:17,"@elonmusk I made the mistake of arguing with one climate change freak and now it’s all I see. Time to start blocking, I guess.",0,Twitter for iPhone,
Scrooge & Marley Counting House Ltd.,1326663504871391235,"Auburn, WA",2023-01-17 04:42:21,I dunno. Why is my TL inundated with climate change weirdos? https://t.co/PScZlfSvMA,0,Twitter for iPhone,
Garylee Monjay Hall,1597893355794751489,"Spanaway, WA",2023-01-17 03:01:37,"https://t.co/jC6WMqj7Cy what craziness,how about stop this climate change bullshit and stop hoarding the food produ… https://t.co/dCNszDsJl6",0,Twitter for Android,
jacobsaces1,1103306266179334145,"Orting, WA",2023-01-17 01:58:59,"@CharlieJGardner Stop lying, climate change does not cause mental illness",0,Twitter for iPhone,
Scrooge & Marley Counting House Ltd.,1326663504871391235,"Auburn, WA",2023-01-17 01:29:58,@bhdonkey1 Stop it. He was obviously killed by climate change.,0,Twitter for iPhone,
World Affairs Council of Tacoma,190409656,"Tacoma, WA USA",2023-01-17 01:13:00,"Climate Change and the Global South, with Dr. Sana Khalil, Assistant Professor of Economics, University of Washingt… https://t.co/0UaPZrLyXF",0,Twitter Web App,
Brian,629054985,"Federal Way, WA",2023-01-17 01:05:13,@GretaThunberg Climate change is fake,0,Twitter for iPhone,
